image_name,pixel_x,pixel_y,world_x,world_y,offset_x_mm
frame_0012.jpg,3150.20166015625,1566.829833984375,120.0,30.0,0
frame_0012.jpg,3100.818115234375,1597.049560546875,150.0,30.0,0
frame_0012.jpg,3042.990966796875,1630.9730224609375,180.0,30.0,0
frame_0012.jpg,2967.36572265625,1670.91748046875,210.0,30.0,0
frame_0012.jpg,2871.982177734375,1718.5726318359375,240.0,30.0,0
frame_0012.jpg,2746.33984375,1772.7972412109375,270.0,30.0,0
frame_0012.jpg,2582.076171875,1833.9365234375,300.0,30.0,0
frame_0012.jpg,2361.9697265625,1896.107666015625,330.0,30.0,0
frame_0012.jpg,2080.728759765625,1953.8668212890625,360.0,30.0,0
frame_0012.jpg,1744.3431396484375,1989.113525390625,390.0,30.0,0
frame_0012.jpg,1388.69775390625,1990.1611328125,420.0,30.0,0
frame_0012.jpg,1063.8277587890625,1959.3807373046875,450.0,30.0,0
frame_0012.jpg,799.3135375976562,1910.3487548828125,480.0,30.0,0
frame_0012.jpg,594.6469116210938,1856.2655029296875,510.0,30.0,0
frame_0012.jpg,440.6595458984375,1804.8074951171875,540.0,30.0,0
frame_0012.jpg,323.80706787109375,1759.7822265625,570.0,30.0,0
frame_0012.jpg,233.19606018066406,1719.974365234375,600.0,30.0,0
frame_0012.jpg,162.78260803222656,1685.6690673828125,630.0,30.0,0
frame_0012.jpg,105.1617660522461,1654.8822021484375,660.0,30.0,0
frame_0012.jpg,3070.14501953125,1441.281005859375,120.0,60.0,0
frame_0012.jpg,3017.699951171875,1461.06591796875,150.0,60.0,0
frame_0012.jpg,2954.2587890625,1479.1597900390625,180.0,60.0,0
frame_0012.jpg,2873.075927734375,1504.92578125,210.0,60.0,0
frame_0012.jpg,2772.963134765625,1530.2254638671875,240.0,60.0,0
frame_0012.jpg,2645.0517578125,1562.38671875,270.0,60.0,0
frame_0012.jpg,2482.73876953125,1594.9754638671875,300.0,60.0,0
frame_0012.jpg,2275.36083984375,1629.1141357421875,330.0,60.0,0
frame_0012.jpg,2018.877685546875,1659.0653076171875,360.0,60.0,0
frame_0012.jpg,1721.968994140625,1678.5006103515625,390.0,60.0,0
frame_0012.jpg,1412.5848388671875,1683.7066650390625,420.0,60.0,0
frame_0012.jpg,1125.7158203125,1671.4130859375,450.0,60.0,0
frame_0012.jpg,882.1399536132812,1651.9444580078125,480.0,60.0,0
