pixel_x,pixel_y,square_x,square_y
7.31177589270078,712.8185446538048,0.0,2.0
43.04983359607638,670.3192327903312,0.0,3.0
80.71967820233715,626.8540274754148,0.0,4.0
117.42362935715539,588.2182894177115,0.0,5.0
152.19579360908835,556.3438055201062,0.0,6.0
22.766071115782097,718.6139053624603,1.0,2.0
61.4018091734855,672.2510196932163,1.0,3.0
101.96933413407396,625.8881340239723,1.0,4.0
138.6732852888922,588.2182894177115,1.0,5.0
171.51366263794012,557.3096989715488,1.0,6.0
2.055806850241538,784.7871443338229,2.0,1.0
41.65570425983378,727.1872935562342,2.0,2.0
82.45559856062573,676.7874241258442,2.0,3.0
125.6554866438172,631.187542260253,2.0,4.0
163.45538871660972,590.3876479594611,2.0,5.0
202.45528768060205,554.3877412234682,2.0,6.0
20.834284212896932,797.8171683807523,3.0,1.0
64.2994895278132,735.9999874884269,3.0,2.0
109.69648174561473,679.978167304757,3.0,3.0
154.12758051197352,632.6493881840703,3.0,4.0
195.66099892400473,588.2182894177115,3.0,5.0
232.36495007882297,550.5484448114506,3.0,6.0
4.414095538372976,887.6452593649126,4.0,0.0
44.01572704751891,812.3055701523909,4.0,1.0
90.37861271676297,746.6248154542952,4.0,2.0
138.6732852888922,683.8417411105273,4.0,3.0
186.96795786102143,632.6493881840703,4.0,4.0
230.4331631759378,585.3206090633837,4.0,5.0
270.03479468508374,544.7530841027951,4.0,6.0
30.493218727322756,913.7243825538624,5.0,0.0
73.95842404223902,833.5552260841279,5.0,1.0
124.18488351725341,756.2837499687212,5.0,2.0
176.34312989515297,688.6712083677402,5.0,3.0
224.6378024672822,632.6493881840703,5.0,4.0
271.00068813652626,583.3888221604985,5.0,5.0
310.6023196456723,542.82129719991,5.0,6.0
68.16306333358352,949.462440257238,6.0,0.0
114.52594900282759,854.8048820158647,6.0,1.0
166.68419538072715,765.942684483147,6.0,2.0
220.77422866151187,694.4665690763957,6.0,3.0
271.9665815879689,630.7176012811851,6.0,4.0
319.2953607086555,578.5593549032856,6.0,5.0
358.89699221780154,536.060043039812,6.0,6.0
115.49184245427023,983.2687110577284,7.0,0.0
164.75240847784198,879.9181117533719,7.0,1.0
221.7401221129545,781.3969797062283,7.0,2.0
275.83015539373923,698.3301428821661,7.0,3.0
327.9884017716388,629.7517078297426,7.0,4.0
